Hours_Studied,Attendance,Parental_Involvement,Access_to_Resources,Extracurricular_Activities,Previous_Scores,Motivation_Level,Internet_Access,Tutoring_Sessions,Family_Income,Teacher_Quality,Peer_Influence,Parental_Education_Level,Distance_from_Home,study_per_attendance,Exam_Result
23,84,0,2,0,73,0,1,0,0,1,2,0,2,0.27380952380952384,0
19,64,0,1,0,59,0,1,2,1,1,1,1,1,0.296875,0
24,98,1,1,1,91,1,1,2,1,1,0,2,2,0.24489795918367346,1
29,89,0,1,1,98,1,1,1,1,1,1,0,1,0.3258426966292135,1
19,92,1,1,1,65,1,1,3,1,2,0,1,2,0.20652173913043478,0
19,88,1,1,1,89,1,1,3,1,1,2,2,2,0.2159090909090909,1
29,84,1,0,1,68,0,1,1,0,1,0,0,1,0.34523809523809523,0
25,78,0,2,1,50,1,1,1,2,2,1,0,0,0.32051282051282054,0
17,94,1,2,0,80,2,1,0,1,0,0,1,2,0.18085106382978725,0
23,98,1,1,1,71,1,1,0,2,2,2,0,1,0.23469387755102042,1
17,80,0,2,0,88,1,0,4,1,2,0,1,1,0.2125,0
17,97,1,2,1,87,0,1,2,0,2,0,0,2,0.17525773195876287,1
21,83,1,1,1,97,0,1,2,1,1,2,0,2,0.25301204819277107,0
9,82,1,1,1,72,1,1,2,1,1,2,2,2,0.10975609756097561,0
10,78,1,2,1,74,1,1,1,0,1,0,2,2,0.1282051282051282,0
17,68,1,1,0,70,1,1,2,1,1,2,0,2,0.25,0
14,60,1,0,1,65,0,1,0,2,1,2,1,2,0.23333333333333334,0
22,70,0,1,1,82,1,1,1,0,2,0,0,2,0.3142857142857143,0
15,80,1,1,1,91,0,1,3,0,1,2,1,1,0.1875,0
12,75,1,2,1,58,1,1,3,1,1,2,1,2,0.16,0
29,78,1,1,0,99,2,1,0,2,1,1,0,1,0.3717948717948718,0
19,99,1,2,0,84,1,1,1,1,2,0,0,2,0.1919191919191919,1
20,74,1,2,0,89,0,1,1,1,1,1,1,1,0.2702702702702703,0
11,78,2,1,1,100,2,1,1,0,1,0,0,1,0.14102564102564102,0
17,65,0,2,1,75,1,1,2,0,1,2,0,2,0.26153846153846155,0
21,62,2,0,1,54,2,1,0,2,2,2,2,0,0.3387096774193548,0
13,91,0,1,0,90,1,1,1,2,1,1,0,1,0.14285714285714285,0
22,83,2,2,1,94,1,1,0,2,1,0,1,1,0.26506024096385544,1
16,90,1,1,0,58,1,1,1,0,1,0,0,1,0.17777777777777778,0
18,66,2,2,0,51,0,1,2,0,1,0,1,2,0.2727272727272727,0
16,83,0,1,0,57,1,1,0,2,0,2,0,2,0.1927710843373494,0
31,70,1,2,1,66,1,1,1,2,1,1,1,2,0.44285714285714284,0
20,69,1,1,1,96,1,1,2,1,2,2,0,2,0.2898550724637681,0
25,65,2,1,0,90,1,1,2,1,1,2,1,1,0.38461538461538464,0
13,72,0,1,0,93,0,1,1,0,1,1,0,2,0.18055555555555555,0
21,65,1,0,1,91,0,1,2,1,2,2,0,0,0.3230769230769231,0
8,99,1,1,0,54,0,1,2,0,1,0,2,2,0.08080808080808081,0
12,72,0,1,1,84,1,1,1,0,1,2,0,2,0.16666666666666666,0
21,65,0,1,1,98,0,1,1,1,2,1,0,2,0.3230769230769231,0
24,68,2,1,0,56,0,1,3,2,2,0,1,2,0.35294117647058826,0
21,84,1,1,1,52,0,1,1,1,2,0,1,0,0.25,0
19,63,0,2,0,94,1,1,1,1,1,2,0,1,0.30158730158730157,0
18,94,1,2,1,82,1,1,3,1,1,1,1,2,0.19148936170212766,0
11,98,1,1,1,82,0,1,1,1,1,2,2,0,0.11224489795918367,0
16,70,1,1,1,98,1,1,2,1,1,2,0,1,0.22857142857142856,0
17,78,1,1,1,88,1,1,1,1,2,2,1,2,0.21794871794871795,0
26,61,1,0,1,70,1,1,2,0,1,2,0,1,0.4262295081967213,0
22,86,0,1,1,72,0,1,3,0,2,2,0,1,0.2558139534883721,0
9,77,1,1,0,57,1,1,2,1,2,0,0,2,0.11688311688311688,0
22,71,0,1,1,65,0,1,1,1,0,2,1,1,0.30985915492957744,0
18,68,2,1,0,72,1,1,0,1,1,0,1,2,0.2647058823529412,0
16,86,0,1,1,63,1,1,2,1,1,2,0,2,0.18604651162790697,0
24,77,2,0,0,96,1,1,0,1,1,0,0,2,0.3116883116883117,0
26,67,1,2,1,51,0,1,2,2,2,0,2,0,0.3880597014925373,0
26,88,1,2,1,79,1,1,1,0,2,2,1,1,0.29545454545454547,1
15,83,1,2,0,89,0,0,1,1,2,0,0,2,0.18072289156626506,0
18,94,1,1,1,87,2,1,1,1,1,2,0,2,0.19148936170212766,1
22,65,2,0,0,82,1,1,2,1,2,2,2,2,0.3384615384615385,0
26,91,1,0,1,71,1,1,0,0,1,0,0,1,0.2857142857142857,0
17,87,1,1,0,96,1,1,1,2,1,1,2,2,0.19540229885057472,0
19,65,1,1,1,66,0,1,0,0,1,2,0,1,0.2923076923076923,0
13,88,0,2,1,88,2,1,2,0,2,1,2,0,0.14772727272727273,0
13,78,1,2,1,96,2,1,2,0,1,0,1,1,0.16666666666666666,0
25,98,0,2,1,56,1,0,0,1,2,0,2,2,0.25510204081632654,1
28,66,1,2,1,97,1,1,0,1,1,0,0,2,0.42424242424242425,0
20,86,1,1,1,89,1,1,1,0,1,1,2,2,0.23255813953488372,0
26,75,0,2,1,81,2,1,3,1,2,2,0,1,0.3466666666666667,0
22,98,1,2,0,69,0,0,1,0,2,1,0,1,0.22448979591836735,0
16,73,1,1,0,95,1,1,1,0,1,1,1,2,0.2191780821917808,0
22,98,1,0,1,52,1,0,3,1,1,2,1,2,0.22448979591836735,0
29,96,1,0,1,72,1,1,1,0,1,2,0,1,0.3020833333333333,1
20,71,1,1,1,88,1,1,1,0,0,0,1,2,0.28169014084507044,0
29,92,0,1,0,91,1,1,2,1,1,1,2,2,0.31521739130434784,1
4,100,2,2,1,60,2,1,0,1,2,2,1,1,0.04,0
25,70,1,1,0,52,1,1,1,1,1,2,2,2,0.35714285714285715,0
21,77,0,1,1,90,1,1,4,1,1,0,2,1,0.2727272727272727,0
18,81,2,0,1,71,1,1,0,1,1,0,0,1,0.2222222222222222,0
21,72,1,1,1,57,1,1,1,2,1,0,1,1,0.2916666666666667,0
8,61,1,1,1,54,1,1,1,2,1,2,1,2,0.13114754098360656,0
19,69,1,2,1,82,2,1,1,0,1,1,0,2,0.2753623188405797,0
22,71,2,1,0,79,2,1,1,0,0,2,0,2,0.30985915492957744,0
29,78,2,2,1,93,0,1,5,1,2,0,1,2,0.3717948717948718,1
17,67,1,1,1,52,2,1,2,1,1,1,0,0,0.2537313432835821,0
15,95,1,1,0,93,1,1,2,0,1,2,1,1,0.15789473684210525,0
17,88,1,2,1,94,0,1,0,1,1,0,0,2,0.19318181818181818,0
25,63,1,2,1,72,1,1,3,1,2,1,1,0,0.3968253968253968,0
22,86,0,0,0,54,1,1,2,1,1,0,0,1,0.2558139534883721,0
17,86,1,2,0,97,2,1,3,2,1,0,1,2,0.19767441860465115,1
23,98,1,0,1,54,0,1,0,1,1,1,1,2,0.23469387755102042,0
21,60,2,1,0,80,1,1,0,1,2,0,1,2,0.35,0
26,70,1,0,1,75,1,1,1,1,0,0,0,0,0.37142857142857144,0
16,97,1,1,1,92,0,1,0,2,1,2,1,2,0.16494845360824742,1
18,97,2,1,1,75,0,1,0,0,1,2,0,1,0.18556701030927836,0
18,89,2,1,1,73,1,1,3,2,1,2,1,2,0.20224719101123595,1
11,91,1,1,0,94,1,1,3,1,1,0,1,1,0.12087912087912088,0
22,64,0,1,0,98,0,0,1,1,1,1,0,2,0.34375,0
22,81,1,1,1,77,0,1,2,1,1,2,2,0,0.2716049382716049,0
20,69,2,2,1,73,1,1,2,0,1,2,0,0,0.2898550724637681,0
19,67,0,1,0,92,2,1,0,1,1,2,1,2,0.2835820895522388,0
12,92,1,1,0,92,2,1,2,1,2,0,0,1,0.13043478260869565,0
